Confusion Matrix and Statistics

             Reference
Prediction    amyloid non-amyloid
  amyloid          65          14
  non-amyloid      37         166
                                          
               Accuracy : 0.8191          
                 95% CI : (0.7692, 0.8623)
        81   0.8208 0.6086    0.03547 0.07868         
        82   0.8199 0.6067    0.03552 0.08027         
        83   0.8226 0.6123    0.03372 0.07681         
        84   0.8199 0.6062    0.03509 0.07936         
        85   0.8243 0.6170    0.03649 0.08106        *
        86   0.8199 0.6071    0.03421 0.07756         
        87   0.8173 0.6003    0.03601 0.08085         
        88   0.8199 0.6060    0.03660 0.08235         
        89   0.8190 0.6039    0.03597 0.08068         
        90   0.8155 0.5975    0.03389 0.07750         
        91   0.8182 0.6025    0.03019 0.06888         
        92   0.8173 0.6008    0.03396 0.07632         
        93   0.8217 0.6120    0.03984 0.08736         
        94   0.8208 0.6094    0.03566 0.08025         
        95   0.8182 0.6028    0.03597 0.08166         
        96   0.8155 0.5977    0.02883 0.06624         
        97   0.8164 0.5984    0.03756 0.08334         
        98   0.8181 0.6042    0.03699 0.08255         
        99   0.8199 0.6064    0.03660 0.08279         
       100   0.8199 0.6065    0.03719 0.08297         
       101   0.8146 0.5952    0.03699 0.08277         
       102   0.8235 0.6146    0.03848 0.08537         
       103   0.8208 0.6086    0.03875 0.08596         
       104   0.8164 0.5989    0.04136 0.09088         
       105   0.8199 0.6063    0.03857 0.08623         
       106   0.8164 0.5984    0.03692 0.08210         
       107   0.8155 0.5968    0.03841 0.08454         
       108   0.8226 0.6122    0.03247 0.07199         
       109   0.8173 0.6008    0.03673 0.08186         
       110   0.8182 0.6025    0.03321 0.07556         
       111   0.8164 0.5990    0.03017 0.06587         
       112   0.8173 0.6005    0.03601 0.07982         
       113   0.8155 0.5965    0.03908 0.08546         
       114   0.8164 0.5995    0.03212 0.06977         
       115   0.8146 0.5952    0.03882 0.08700         
       116   0.8155 0.5972    0.03279 0.07541         
       117   0.8129 0.5913    0.03150 0.06888         
       118   0.8181 0.6027    0.03860 0.08537         
       119   0.8146 0.5957    0.03579 0.07958         
       120   0.8181 0.6025    0.03301 0.07467         
       121   0.8155 0.5975    0.03559 0.07898         
       122   0.8182 0.6030    0.03573 0.07987         
       123   0.8182 0.6027    0.03241 0.07239         
       124   0.8190 0.6050    0.03076 0.07017         
       125   0.8155 0.5971    0.03409 0.07569         
       126   0.8208 0.6085    0.04240 0.09440         
       127   0.8190 0.6049    0.03327 0.07320         
       128   0.8181 0.6029    0.03603 0.08074         
       129   0.8138 0.5928    0.03524 0.07860         
       130   0.8199 0.6069    0.03521 0.07931         
       131   0.8208 0.6093    0.03802 0.08488         
       132   0.8173 0.6012    0.02987 0.06796         
       133   0.8217 0.6105    0.03415 0.07750         
       134   0.8164 0.5986    0.03240 0.07344         
       135   0.8155 0.5961    0.03684 0.08227         
       136   0.8155 0.5959    0.03576 0.08207         
       137   0.8173 0.6019    0.03784 0.08326         
       138   0.8199 0.6064    0.04182 0.09268         
       139   0.8190 0.6045    0.03573 0.07855         
       140   0.8137 0.5915    0.03792 0.08440         
       141   0.8199 0.6064    0.03546 0.07946         
       142   0.8173 0.6006    0.04280 0.09582         
       143   0.8182 0.6018    0.03499 0.07836         
       144   0.8155 0.5967    0.03534 0.07867         
       145   0.8164 0.5992    0.02807 0.06311         
       146   0.8128 0.5904    0.03789 0.08496         
       147   0.8226 0.6118    0.03499 0.07799         
       148   0.8173 0.6002    0.04135 0.09383         
       149   0.8173 0.6010    0.03636 0.08042         
       150   0.8155 0.5961    0.03947 0.08783         
       151   0.8182 0.6019    0.04131 0.09121         
       152   0.8173 0.6009    0.03714 0.08246         
       153   0.8190 0.6034    0.03693 0.08328         
       154   0.8190 0.6051    0.03796 0.08414         
       155   0.8173 0.6008    0.03497 0.07885         
       156   0.8128 0.5912    0.03503 0.07698         
       157   0.8173 0.6011    0.02928 0.06489         
       158   0.8173 0.6009    0.03184 0.07136         
       159   0.8111 0.5863    0.03805 0.08633         
       160   0.8182 0.6034    0.04074 0.09009         
       161   0.8164 0.5991    0.03620 0.08070         
       162   0.8146 0.5960    0.03905 0.08702         
       163   0.8190 0.6050    0.03300 0.07248         
       164   0.8173 0.6010    0.03218 0.07360         
       165   0.8120 0.5898    0.03300 0.07390         
       166   0.8137 0.5932    0.03518 0.08051         
 [ reached 'max' / getOption("max.print") -- omitted 378 rows ]

The top 5 variables (out of 85):
   BAEK050101, GEIM800107, QIAN880121, MANP780101, PONP930101

 [1] "BAEK050101" "GEIM800107" "QIAN880121" "MANP780101" "PONP930101" "AURR980119" "KANM800102" "CHOP780213" "PONP800101"
[10] "PALJ810104" "MUNV940105" "MUNV940103" "CORJ870101" "ROBB760106" "ISOY800104" "BASU050103" "ISOY800107" "MUNV940104"
[19] "GEOR030109" "PONP800102" "RICJ880116" "QIAN880135" "NAGK730102" "BASU050101" "CHOP780202" "PTIO830102" "PONP800108"
[28] "KANM800104" "KARP850102" "LIFS790102" "PONP800106" "NISK800101" "MEIH800101" "CORJ870106" "AVBF000101" "LIFS790101"
[37] "GEOR030106" "ONEK900102" "PONP800107" "TANS770106" "CHOP780208" "PONP800103" "KRIW790101" "AURR980104" "PALJ810110"
[46] "QIAN880134" "YUTK870104" "TANS770102" "GEIM800105" "RACS820105" "AURR980103" "LEVM780105" "MAXF760106" "GEOR030102"
[55] "GEIM800103" "QIAN880120" "GEOR030101" "BASU050102" "PALJ810103" "WERD780101" "NAKH900102" "PALJ810111" "MIYS990103"
[64] "GUYH850103" "JANJ790101" "QIAN880138" "CIDH920104" "WILM950104" "CORJ870105" "RADA880102" "FUKS010102" "VASM830102"
[73] "GUYH850101" "RACS770101" "TANS770104" "CHOP780209" "ZHOH040103" "ISOY800106" "AVBF000104" "EISD860102" "CHAM830102"
[82] "PALJ810112" "LEVM780102" "GUYH850102" "RACS820101"
